timestamp,RH,RH_risk_code
2012-02-18 00:00:00+00:00,63.775,0
2012-02-18 01:00:00+00:00,64.265,0
2012-02-18 02:00:00+00:00,63.991,0
2012-02-18 03:00:00+00:00,64.087,0
2012-02-18 04:00:00+00:00,64.351,0
2012-02-18 05:00:00+00:00,64.646,0
2012-02-18 06:00:00+00:00,64.853,0
2012-02-18 07:00:00+00:00,65.035,0
2012-02-18 08:00:00+00:00,65.194,0
2012-02-18 09:00:00+00:00,65.32,0
2012-02-18 10:00:00+00:00,65.787,0
2012-02-18 11:00:00+00:00,65.681,0
2012-02-18 12:00:00+00:00,65.653,0
2012-02-18 13:00:00+00:00,65.985,0
2012-02-18 14:00:00+00:00,65.977,0
2012-02-18 15:00:00+00:00,66.198,0
2012-02-18 16:00:00+00:00,65.747,0
2012-02-18 17:00:00+00:00,66.208,0
2012-02-18 18:00:00+00:00,66.59,0
2012-02-18 19:00:00+00:00,66.576,0
2012-02-18 20:00:00+00:00,66.705,0
2012-02-18 21:00:00+00:00,66.55,0
2012-02-18 22:00:00+00:00,66.541,0
2012-02-18 23:00:00+00:00,66.528,0
2012-02-19 00:00:00+00:00,66.515,0
2012-02-19 01:00:00+00:00,66.47,0
2012-02-19 02:00:00+00:00,66.457,0
2012-02-19 03:00:00+00:00,66.389,0
2012-02-19 04:00:00+00:00,66.321,0
2012-02-19 05:00:00+00:00,66.142,0
2012-02-19 06:00:00+00:00,66.239,0
2012-02-19 07:00:00+00:00,66.002,0
2012-02-19 08:00:00+00:00,65.823,0
2012-02-19 09:00:00+00:00,65.759,0
2012-02-19 10:00:00+00:00,66.065,0
2012-02-19 11:00:00+00:00,66.1,0
2012-02-19 12:00:00+00:00,66.204,0
2012-02-19 13:00:00+00:00,66.173,0
2012-02-19 14:00:00+00:00,66.111,0
2012-02-19 15:00:00+00:00,65.975,0
2012-02-19 16:00:00+00:00,65.835,0
2012-02-19 17:00:00+00:00,65.651,0
2012-02-19 18:00:00+00:00,65.764,0
2012-02-19 19:00:00+00:00,66.24,0
2012-02-19 20:00:00+00:00,66.471,0
2012-02-19 21:00:00+00:00,66.394,0
2012-02-19 22:00:00+00:00,66.376,0
2012-02-19 23:00:00+00:00,66.464,0
2012-02-20 00:00:00+00:00,66.392,0
2012-02-20 01:00:00+00:00,66.48,0
2012-02-20 02:00:00+00:00,66.38,0
2012-02-20 03:00:00+00:00,66.468,0
2012-02-20 04:00:00+00:00,66.423,0
2012-02-20 05:00:00+00:00,66.291,0
2012-02-20 06:00:00+00:00,66.296,0
2012-02-20 07:00:00+00:00,66.027,0
2012-02-20 08:00:00+00:00,66.229,0
2012-02-20 09:00:00+00:00,64.605,0
2012-02-20 10:00:00+00:00,63.877,0
2012-02-20 11:00:00+00:00,63.937,0
2012-02-20 12:00:00+00:00,64.0,0
2012-02-20 13:00:00+00:00,63.914,0
2012-02-20 14:00:00+00:00,63.353,0
2012-02-20 15:00:00+00:00,62.106,0
